,total_perc_change,new_case_count_sum,religion,civic,charitable,fraternal,union,voteage,local,state,federal,politicalacts,ethnic,ethnichpn,education,incomeequal,employ,genderincome,language,commu,nonelder
"Jefferson County, Arkansas",-0.049469005,1912,0.14844075,0.07606666,0.53739613,0.28624535,0.54814816,0.5848568,0.14396325,0.25013024,0.25872204,0.47024673,0.3044772,0.9386115,0.6598778,0.42237443,0.34486735,0.033856153,0.9662018,0.8438961,0.9996826
"Butte County, California",-0.049026099,4573,0.03721501,0.09779999,0.45429364,0.31784385,0.34074074,0.5832554,0.22008818,0.14659894,0.06392407,0.51669085,0.6058534,0.532949,0.802444,0.4474886,0.38869664,0.032707572,0.8477405,0.91491103,0.9998692
"Arlington County, Virginia",-0.049005093,2130,0.009664866,0.10866666,0.57894737,0.21747212,0.6,0.52502024,0.11625146,0.02982799,0.7829276,0.83889693,0.36441213,0.49370772,0.57331973,0.4931507,0.75663203,0.035960734,0.6975386,0.90702224,0.99990994
"Missoula County, Montana",-0.048984205,1390,0.037648875,0.10866666,0.4833795,0.25464684,0.3580247,0.64585936,0.11170978,0.18512213,0.11360288,0.1640058,0.8343096,0.8990392,0.75050914,0.3995434,0.59861594,0.017726362,0.9538606,0.8569299,0.9997923
"Lancaster County, Pennsylvania",-0.048955482,11045,0.084454186,0.10866666,0.39750692,0.31598514,0.5160494,0.5510814,0.10683368,0.04327832,0.041636422,0.22786647,0.76099336,0.70372117,0.5580448,0.5251142,0.59861594,0.097720504,0.83720917,0.8895721,0.9999473
"Venango County, Pennsylvania",-0.048725918,697,0.15448059,0.06519999,0.33933517,0.35873607,0.31358024,0.6314764,0.12614198,0.15233216,0.040045615,0.18142235,0.92763036,0.9631797,0.5458248,0.5502283,0.48096886,0.09898096,0.97719723,0.94611245,0.9994016
"St. Louis County, Minnesota",-0.048707734,3292,0.069653295,0.10866666,0.4141274,0.21189591,0.43950617,0.6563793,0.18528278,0.108345166,0.075639494,0.3207547,0.8334298,0.9520214,0.7657841,0.46347034,0.5040369,0.073465765,0.9595491,0.88951635,0.9998526
"Clayton County, Georgia",-0.048668961,5409,0.023242751,0.09236666,0.2465374,0.14684016,0.22469136,0.37612963,0.17806159,0.067087546,0.18495168,0.2467344,0.3049189,0.55386674,0.598778,0.5753425,0.4948097,0.015379369,0.7873163,0.9044187,0.999949
"Columbia County, New York",-0.048639939,658,0.07699369,0.081499994,0.5401662,0.38475835,0.40987656,0.61495996,0.21536918,0.15637594,0.07404315,0.44267052,0.79185474,0.8558903,0.5458248,0.39497715,0.5397924,0.06859839,0.9197388,0.9490697,0.99947226
"Jackson County, Indiana",-0.048481345,566,0.122566074,0.09236666,0.4473684,0.3550186,0.45925927,0.52495277,0.12127999,0.046516363,0.025160277,0.3962264,0.9127892,0.80024356,0.5753564,0.5753425,0.5201846,0.07979286,0.9384692,0.88880485,0.9993798
