,total_perc_change,new_case_count_sum,religion,civic,charitable,fraternal,union,voteage,local,state,federal,politicalacts,ethnic,ethnichpn,education,incomeequal,employ,genderincome,language,commu,nonelder
"Washburn County, Wisconsin",-0.999999999,226,0.14552629,0.06519999,0.5235457,0.25464684,0.49876544,0.6491393,0.18393312,0.10197507,0.062548205,0.34542817,0.90579754,0.98332113,0.5570265,0.54109585,0.48904267,0.027337909,0.9733454,0.87874246,0.99758077
"Inyo County, California",-0.999685563,131,0.12052615,0.06519999,0.22022161,0.31226766,0.33333334,0.5497008,0.42260462,0.09368494,0.12496496,0.16835994,0.45992416,0.4107275,0.7443992,0.4977169,0.52595156,0.005821586,0.83529186,0.88208085,0.99810785
"Jackson County, Minnesota",-0.999014389,270,0.1633379,0.05433333,0.40027702,0.26951674,0.40493828,0.608092,0.19739887,0.039904814,0.027732344,0.3962264,0.9024638,0.9131516,0.610998,0.5296804,0.650519,0.06884128,0.9598189,0.9097358,0.9967259
"Highland County, Ohio",-0.998519305,413,0.14704251,0.08693332,0.57894737,0.33271375,0.41975307,0.56789416,0.169425,0.029289642,0.05413687,0.42815676,0.90370035,0.99277335,0.47759676,0.53881276,0.4025375,0.047127187,0.9781782,0.8254039,0.99935436
"Pontotoc County, Mississippi",-0.997831425,457,0.19829042,0.032599997,0.27700832,0.2527881,0.3160494,0.50451475,0.11308324,0.09956744,0.056126878,0.37590712,0.5775398,0.80162597,0.5040733,0.47716898,0.5051903,0.06337541,0.9471227,0.7226182,0.9991846
"Ogemaw County, Michigan",-0.992101725,658,0.08161404,0.05976666,0.12465374,0.21189591,0.32098764,0.65606296,0.17510277,0.07157785,0.05519988,0.2191582,0.9259977,0.9497822,0.589613,0.48173517,0.2791234,0.09488422,0.9783004,0.87308556,0.9982481
"Boyle County, Kentucky",-0.981726279,501,0.15095839,0.081499994,0.40443215,0.33271375,0.3506173,0.61036754,0.13302559,0.1499875,0.060462784,0.35123366,0.7114078,0.8917857,0.6405295,0.37899542,0.44867358,0.090415955,0.9562606,0.9119649,0.99893457
"Oktibbeha County, Mississippi",-0.980221058,673,0.104026385,0.06519999,0.5803324,0.14869888,0.74814814,0.6548534,0.13860242,0.6151885,0.09558214,0.425254,0.32065016,0.9400608,0.73319757,0.24885845,0.4152249,0.047661126,0.9481215,0.807239,0.9996208
"Choctaw County, Oklahoma",-0.979993123,145,0.25060663,0.02173333,0.15927978,0.18959108,0.43703705,0.57605964,0.23212439,0.15401146,0.103527755,0.1582003,0.3055784,0.8867463,0.4144603,0.3995434,0.3587082,0.14927953,0.9584044,0.87463754,0.9978028
"Lewis County, Kentucky",-0.970274279,391,0.1448596,0.03803333,0.11495845,0.15055762,0.45679012,0.5983155,0.21246076,0.13646765,0.017417243,0.22496371,0.95738244,0.9919977,0.45519352,0.4018265,0.2710496,0.12100005,0.966406,0.80786425,0.99803174
"Wyoming County, Pennsylvania",-0.969636972,829,0.09463592,0.06519999,0.19806094,0.2788104,0.33827162,0.62144214,0.12561175,0.04775857,0.06191185,0.16981132,0.9390316,0.94735384,0.6456212,0.5753425,0.5536332,0.12763602,0.9711398,0.95120686,0.9989256
"Routt County, Colorado",-0.964183341,479,0.044781815,0.07606666,0.24515235,0.302974,0.29876542,0.6180147,0.17629483,0.03340647,0.049945462,0.287373,0.8910533,0.77538884,0.7240326,0.57990867,0.75663203,0.005326688,0.93701196,0.90447044,0.99920046
"Swain County, North Carolina",-0.959842572,117,0.19089536,0.02173333,0.29085872,0.22490707,0.47654322,0.58888036,0.36502382,0.16815743,0.06347641,0.3134978,0.378375,0.8617184,0.6537678,0.456621,0.42791235,0.026505053,0.94360584,0.8252839,0.9978585
"Butler County, Missouri",-0.949407677,866,0.10213356,0.06519999,0.29501384,0.30669144,0.33580247,0.5965485,0.1591477,0.1331574,0.09995171,0.26269957,0.77564824,0.93219364,0.53564155,0.43835616,0.48558247,0.07561356,0.97015613,0.8212995,0.99927807
"Effingham County, Illinois",-0.939542072,359,0.10942276,0.081499994,0.36565098,0.36988848,0.43209878,0.5759944,0.10136217,0.06710019,0.027761618,0.32946298,0.93482345,0.9397079,0.7026477,0.47031963,0.6378316,0.113666415,0.9762562,0.86245376,0.9992408
"Caroline County, Maryland",-0.938272409,329,0.11439675,0.06519999,0.33795014,0.32342008,0.4419753,0.52534145,0.2083216,0.08614395,0.14408958,0.34833091,0.5592532,0.8077242,0.55397147,0.5936073,0.5928489,0.06912935,0.9308853,0.8886877,0.99922866
"Crisp County, Georgia",-0.934256964,294,0.12673242,0.05433333,0.23407203,0.17657992,0.3802469,0.5490801,0.24506003,0.1316995,0.084468,0.22496371,0.3146671,0.88367444,0.54276985,0.39726025,0.38292962,0.007716775,0.96248287,0.85034466,0.99881405
"Pike County, Georgia",-0.91134089,450,0.12212239,0.02173333,0.23822714,0.36245352,0.3728395,0.5385059,0.23414288,0.087799765,0.08307108,0.12191582,0.69407994,0.95480424,0.6863544,0.6050228,0.5121107,0.21214777,0.9767527,0.89748544,0.9985859
"O'Brien County, Iowa",-0.883986395,155,0.19471937,0.06519999,0.22853185,0.2881041,0.41234568,0.5869305,0.1719029,0.06834868,0.043642364,0.44121915,0.9230518,0.8834877,0.5509165,0.456621,0.64705884,0.020968676,0.95968735,0.8971964,0.99752414
"Williamson County, Illinois",-0.881903824,1659,0.112795375,0.081499994,0.38504156,0.28996283,0.36049384,0.6127799,0.14562933,0.19834594,0.13974808,0.27285922,0.8373084,0.9238017,0.7026477,0.46118724,0.4475202,0.10217798,0.9724927,0.8989052,0.9995454
"Archuleta County, Colorado",-0.866842521,459,0.12199171,0.048899993,0.59418285,0.36802974,0.38765433,0.6573254,0.23854041,0.011281225,0.053811762,0.47314948,0.75673616,0.4356252,0.7148676,0.36529678,0.42329872,0.13127637,0.9213567,0.9958525,0.997295
"Victoria County, Texas",-0.863484652,2061,0.059547294,0.081499994,0.6066482,0.40334573,0.31111112,0.49785152,0.18168947,0.06752204,0.054610867,0.120464444,0.47334903,0.019943118,0.6659878,0.4520548,0.5686275,0.13969809,0.7328393,0.8499172,0.99970984
"Trempealeau County, Wisconsin",-0.859123962,216,0.105076045,0.06519999,0.33795014,0.25650558,0.33580247,0.5614199,0.17872804,0.056532748,0.050753642,0.14223513,0.8770493,0.829317,0.57026476,0.54109585,0.627451,0.078430414,0.9216349,0.88699406,0.99896896
"Coffee County, Georgia",-0.835471825,699,0.12785666,0.07063332,0.1468144,0.18959108,0.23950617,0.49137145,0.23888248,0.15205462,0.05031619,0.15384616,0.35410964,0.64220655,0.49083507,0.4474886,0.4394464,0.11869812,0.89746803,0.59711945,0.9994811
"Russell County, Virginia",-0.832778907,266,0.14803952,0.04346666,0.38088644,0.25464684,0.32098764,0.65191406,0.19279718,0.13764192,0.07207739,0.3846154,0.93563914,0.9961205,0.69959265,0.4954338,0.42791235,0.00615412,0.9842611,0.9091266,0.99893767
"Lassen County, California",-0.826324507,289,0.056132913,0.081499994,0.26592797,0.16728625,0.1382716,0.62473595,0.29959145,0.42515028,0.37772933,0.8345428,0.3836866,0.4348296,0.4419552,0.5091324,0.23875432,0.14311367,0.82440263,0.89831865,0.9994424
"Jay County, Indiana",-0.826105813,249,0.2018303,0.07606666,0.12880887,0.1654275,0.29135802,0.53917944,0.16020474,0.041144002,0.07201607,0.13207547,0.93098974,0.89984775,0.5376782,0.60730594,0.54094577,0.066075206,0.9703377,0.82289183,0.99866664
"Lincoln Parish, Louisiana",-0.814875484,1043,0.098836996,0.06519999,0.34210527,0.19888476,0.27407408,0.5913883,0.18750216,0.37890747,0.049306337,0.42089987,0.30869204,0.9042369,0.7250509,0.27853882,0.37946942,0.16896868,0.9648121,0.8413849,0.99952215
"Polk County, North Carolina",-0.806662428,209,0.17791454,0.07063332,0.43767312,0.29182157,0.37530863,0.6574502,0.15161945,0.14897218,0.07568823,0.10595065,0.80619407,0.8152336,0.7250509,0.5502283,0.37254903,0.001034021,0.94186354,0.8555656,0.99788976
"Johnson County, Iowa",-0.803063294,1636,0.03148817,0.10323332,0.16066483,0.14869888,0.40246913,0.5898753,0.11626564,0.4573279,0.08686381,0.11320755,0.6771352,0.8321958,0.7535642,0.39269406,0.68627447,0.002576172,0.88096577,0.8577519,0.9998654
"Mecklenburg County, Virginia",-0.79836072,424,0.17668015,0.048899993,0.31163436,0.25836432,0.3308642,0.6429345,0.2142464,0.15875487,0.07446331,0.52249634,0.33367336,0.9078819,0.610998,0.44292235,0.37946942,0.06453484,0.9674427,0.94795144,0.998894
"Hinds County, Mississippi",-0.795055606,5702,0.09121647,0.10866666,0.5734072,0.32527882,0.42222223,0.5352784,0.15371424,0.25698006,0.13080312,0.43686503,0.40887582,0.94446695,0.6659878,0.36301368,0.4971165,0.016529739,0.965869,0.8729274,0.9999166
"Miami County, Kansas",-0.793792304,400,0.108887844,0.05433333,0.4168975,0.37174723,0.46666667,0.53968614,0.17091845,0.10623988,0.07249793,0.31204644,0.8903821,0.90260637,0.7107943,0.60730594,0.61591697,0.10524911,0.979383,0.9100753,0.9992376
"Ripley County, Indiana",-0.790314378,281,0.13318919,0.06519999,0.17590028,0.22490707,0.45185184,0.54660225,0.11303591,0.04615162,0.059699517,0.3280116,0.93744695,0.94111043,0.57230145,0.56621003,0.5755479,0.0921005,0.9606864,0.9095602,0.9990664
"Grayson County, Virginia",-0.787965375,390,0.24467209,0.02173333,0.58171743,0.14126395,0.75061727,0.66505015,0.17030708,0.10532527,0.05116675,0.37300435,0.9144858,0.9057083,0.60692465,0.44292235,0.4567474,0.20059723,0.968137,0.9203486,0.99752396
"Dearborn County, Indiana",-0.786971413,555,0.07408871,0.09236666,0.32548475,0.38475835,0.48395061,0.5721203,0.11642767,0.03474186,0.028668754,0.28592163,0.9411728,0.9576189,0.6395112,0.60958904,0.6009227,0.13236833,0.9738764,0.91738886,0.9995144
"Orange County, Texas",-0.778044675,1841,0.08660309,0.081499994,0.4903047,0.3513011,0.3728395,0.5538254,0.15871733,0.07550276,0.04243367,0.23802613,0.7053565,0.7947397,0.6252546,0.48630136,0.46482125,0.14326763,0.94103247,0.8925031,0.99967974
"Jackson County, Georgia",-0.758283453,1242,0.07919488,0.081499994,0.3559557,0.3401487,0.52098763,0.5136129,0.21456222,0.100526094,0.052210882,0.2525399,0.7206987,0.7831004,0.47556007,0.53652966,0.544406,0.16973436,0.9217041,0.86607635,0.9996085
"Woodford County, Kentucky",-0.756452721,371,0.114325196,0.07606666,0.24238227,0.2843866,0.4,0.5136487,0.10272352,0.16569929,0.05135375,0.19303338,0.7644274,0.780783,0.6384929,0.51826483,0.61937714,0.07331473,0.9136711,0.90812707,0.998957
"Wharton County, Texas",-0.738574345,692,0.11948911,0.05433333,0.17174515,0.12825279,0.27901235,0.4499634,0.19548194,0.11280298,0.041297797,0.16545719,0.44817883,0.076444626,0.6059063,0.42237443,0.5801615,0.088250935,0.7267726,0.88082075,0.9993501
"Greene County, Virginia",-0.737155014,347,0.07365745,0.02173333,0.14127424,0.13754646,0.18765432,0.53832483,0.16171832,0.15097259,0.16127338,0.16545719,0.73086506,0.8509402,0.703666,0.586758,0.6343714,0.002564192,0.9344558,0.80834866,0.9986535
"Chesterfield County, South Carolina",-0.736649152,767,0.19815902,0.03803333,0.17590028,0.17100371,0.22222222,0.5531368,0.13868435,0.12052512,0.039938264,0.16690856,0.37781692,0.8698342,0.48778003,0.4520548,0.4152249,0.088890195,0.95697576,0.8950028,0.99941534
"Whitley County, Kentucky",-0.734451692,1181,0.15563317,0.05433333,0.52770084,0.2472119,0.5234568,0.5823271,0.17831579,0.13218912,0.12369589,0.35123366,0.9328584,0.96389353,0.6038697,0.37442923,0.3148789,0.002431691,0.9799963,0.818479,0.9992668
"Perry County, Ohio",-0.72635288,267,0.12281179,0.048899993,0.13157895,0.15427509,0.42222223,0.55906117,0.19506988,0.05811266,0.04607447,0.08417997,0.94870603,0.9787984,0.6201629,0.53881276,0.4475202,0.053420544,0.9840481,0.82659906,0.9993207
"Southampton County, Virginia",-0.721028778,139,0.12826599,0.048899993,0.23268698,0.24535316,0.3530864,0.642628,0.20843226,0.14927486,0.105771735,0.287373,0.35108322,0.9789151,0.5376782,0.53196347,0.5282584,0.09264439,0.9839889,0.9070645,0.99837273
"Beckham County, Oklahoma",-0.716559366,142,0.15276606,0.05433333,0.15789473,0.15799257,0.27160493,0.5555117,0.11356708,0.13457641,0.039998185,0.17271408,0.721162,0.61167437,0.4928717,0.48173517,0.550173,0.5793407,0.9253378,0.91716444,0.9989217
"La Plata County, Colorado",-0.709532427,1209,0.05998641,0.081499994,0.60387814,0.30669144,0.49382716,0.6313315,0.21378697,0.09534167,0.10579674,0.22786647,0.6860897,0.5914959,0.7576375,0.51598173,0.64705884,0.003654242,0.8974148,0.82341766,0.99953085
"Sioux County, Iowa",-0.691611075,377,0.1422588,0.048899993,0.58171743,0.15427509,0.75555557,0.48259774,0.103508934,0.03743724,0.015665578,0.3918723,0.85903937,0.7286526,0.69450104,0.5981735,0.73356396,0.14198554,0.9136544,0.95477885,0.9992418
"Pike County, Kentucky",-0.687347453,1116,0.108933225,0.048899993,0.1731302,0.1802974,0.27160493,0.62261,0.16262391,0.13299829,0.065655045,0.19013062,0.95186794,0.96997267,0.55906314,0.4086758,0.33564013,0.058677018,0.9878355,0.8527932,0.99959165
"Tillamook County, Oregon",-0.685697876,378,0.0775279,0.05433333,0.35180056,0.36431226,0.3728395,0.604328,0.20012683,0.11138968,0.062116653,0.3425254,0.7923428,0.691933,0.697556,0.47031963,0.47520185,0.25624788,0.9384625,0.89601564,0.99849653
"Logan County, Oklahoma",-0.681589142,455,0.09104581,0.06519999,0.31440443,0.2992565,0.34814814,0.5611617,0.15072972,0.15746357,0.15206936,0.09724238,0.5864985,0.81497145,0.6456212,0.3995434,0.5767012,0.060108066,0.95669013,0.9312652,0.9994086
"Brown County, Ohio",-0.661779025,397,0.082924835,0.048899993,0.19252078,0.302974,0.30864197,0.5820719,0.1708326,0.058980376,0.057617698,0.1640058,0.9441034,0.9726668,0.57026476,0.5844749,0.44405997,0.18200558,0.98046905,0.89878464,0.99941146
"Bowie County, Texas",-0.658866989,1670,0.12716274,0.07606666,0.27700832,0.23791821,0.32839507,0.56016874,0.16238567,0.109326385,0.32786226,0.26415095,0.40238488,0.76552653,0.66496944,0.4018265,0.47981545,0.065849066,0.9265917,0.86658174,0.99970967
"Otsego County, New York",-0.657394876,929,0.1009221,0.09236666,0.38227147,0.32713756,0.40987656,0.6562278,0.20179194,0.1503588,0.048395615,0.3280116,0.8690293,0.8831266,0.68329936,0.48858446,0.49942333,0.025866807,0.9338425,0.9204322,0.9995259
"DeKalb County, Indiana",-0.649037951,749,0.10218138,0.06519999,0.25207755,0.3513011,0.44691357,0.54363364,0.1523263,0.04128092,0.047398143,0.22496371,0.9364056,0.90351427,0.5804481,0.6141553,0.5374856,0.111744285,0.9610928,0.9087342,0.999433
"Cullman County, Alabama",-0.646123332,1600,0.17756705,0.081499994,0.21883656,0.267658,0.37530863,0.57658666,0.15217362,0.08567087,0.070012875,0.17706822,0.89987016,0.8476726,0.6059063,0.456621,0.47058827,0.077400684,0.9561338,0.8671177,0.9996407
"Chippewa County, Wisconsin",-0.628480311,603,0.072263695,0.06519999,0.32825485,0.33828998,0.4148148,0.59742564,0.14574492,0.07840617,0.037537232,0.29753265,0.8918905,0.9504552,0.6405295,0.5456621,0.5940023,0.15724057,0.960811,0.925293,0.99955267
"Dickinson County, Michigan",-0.627465141,394,0.101895526,0.081499994,0.40581718,0.36802974,0.31851852,0.62143224,0.17506938,0.047311466,0.1612013,0.31059507,0.93170255,0.9594918,0.6822811,0.48858446,0.48673585,0.056998193,0.9691856,0.9455157,0.9987239
"Sheridan County, Wyoming",-0.624993408,352,0.098618954,0.09236666,0.5457064,0.21933086,0.58271605,0.60939074,0.16746604,0.12577514,0.19026138,0.425254,0.8629374,0.8697959,0.72199595,0.520548,0.6482122,0.039824247,0.95593363,0.9406235,0.9989638
"Lauderdale County, Alabama",-0.605711979,1662,0.13327555,0.09236666,0.32963988,0.32899627,0.36790124,0.61944485,0.16978411,0.09522588,0.14523444,0.33236575,0.701525,0.9200622,0.65580446,0.42009133,0.44405997,0.025827587,0.97037315,0.9021746,0.9996646
"Louisa County, Virginia",-0.601224861,392,0.09401598,0.048899993,0.36842105,0.3866171,0.44444445,0.602407,0.20805797,0.14772218,0.08126111,0.36865023,0.5418278,0.91316,0.6476579,0.5,0.56516725,0.30379432,0.9672323,0.8562687,0.9991305
"Wise County, Texas",-0.599799187,1033,0.11286433,0.081499994,0.44598338,0.3401487,0.40987656,0.4897294,0.16290058,0.07243849,0.07723147,0.5515239,0.79517573,0.46821022,0.67209774,0.5707762,0.53863895,0.28853035,0.8602228,0.8864538,0.9995971
"Muskogee County, Oklahoma",-0.595652667,941,0.15430187,0.08693332,0.27423823,0.31040892,0.36296296,0.559921,0.15828696,0.15112552,0.22499725,0.29608127,0.24164212,0.8150277,0.59368634,0.456621,0.45559397,0.028607845,0.9530966,0.91802233,0.9996036
"York County, Maine",-0.589047299,3960,0.026749473,0.10323332,0.32963988,0.2825279,0.34814814,0.62022465,0.17092194,0.04424143,0.16017579,0.32365748,0.9148913,0.9521308,0.64358455,0.56392694,0.59861594,0.1970151,0.91899455,0.9373454,0.99985594
"Crow Wing County, Minnesota",-0.584412842,1683,0.07448166,0.10323332,0.42243767,0.31598514,0.3580247,0.6024212,0.15131575,0.10181743,0.05105063,0.38606676,0.917493,0.9549786,0.7189409,0.51369864,0.5340254,0.044077933,0.979087,0.90424037,0.9994603
"Belknap County, New Hampshire",-0.583171774,1089,0.04068288,0.09236666,0.48891968,0.37732342,0.4419753,0.62592393,0.20135722,0.10555627,0.047118723,0.4238026,0.91878355,0.9497027,0.57637477,0.5251142,0.5997693,0.035471976,0.95288134,0.9356453,0.99947464
"Levy County, Florida",-0.575232226,1307,0.114026226,0.05976666,0.34903046,0.34758365,0.33580247,0.60419106,0.18539564,0.13441484,0.056977566,0.38171262,0.67512846,0.74420726,0.55397147,0.46575344,0.3656286,0.093414664,0.9318178,0.8797224,0.9991065
"Goodhue County, Minnesota",-0.574348706,944,0.108358614,0.06519999,0.24515235,0.20260224,0.2888889,0.5806167,0.17160022,0.051389575,0.054745153,0.19448476,0.88504773,0.8972332,0.6384929,0.56164384,0.6459054,0.090895295,0.9545095,0.926675,0.9993448
"Teton County, Wyoming",-0.571154872,517,0.03876588,0.08693332,0.30609417,0.13197026,0.30617285,0.57306737,0.14194837,0.0329849,0.122554794,0.35413644,0.92495215,0.54863286,0.7107943,0.36529678,0.762399,0.06829637,0.84959114,0.8541233,0.99907947
"Union County, Mississippi",-0.570905831,466,0.20851032,0.03803333,0.46814406,0.22490707,0.63703704,0.536442,0.13257225,0.20700525,0.049574286,0.30478954,0.61514187,0.8524084,0.5376782,0.48630136,0.48673585,0.17394507,0.9521505,0.7775623,0.9990042
"Pointe Coupee Parish, Louisiana",-0.568118028,741,0.056807283,0.048899993,0.35180056,0.31040892,0.30864197,0.57410496,0.15933298,0.1748756,0.05587395,0.17706822,0.35857862,0.9318415,0.4052953,0.41552514,0.4971165,0.007132351,0.9468985,0.7995245,0.9987063
"Fulton County, Illinois",-0.563030077,1190,0.1365201,0.07063332,0.26592797,0.32713756,0.42222223,0.6198165,0.1535065,0.13350649,0.08232668,0.19883889,0.8704465,0.9038409,0.6221996,0.56164384,0.42675892,0.14454734,0.9500049,0.87743306,0.99911034
"Park County, Colorado",-0.557631354,320,0.05594517,0.05433333,0.5457064,0.2881041,0.49382716,0.65550494,0.2548844,0.06659142,0.17324519,0.19158201,0.8999215,0.82360667,0.7148676,0.6666666,0.6239908,0.018141866,0.9537709,0.9421518,0.9985722
"Union County, Pennsylvania",-0.555764089,894,0.09086598,0.03803333,0.41828254,0.30669144,0.51111114,0.6443043,0.11873776,0.061570775,0.12163615,0.11901306,0.69059145,0.808019,0.6771894,0.4543379,0.42214534,0.16553295,0.8834031,0.92492723,0.9994147
"Marinette County, Wisconsin",-0.549489082,366,0.0878044,0.048899993,0.39473686,0.37360594,0.33580247,0.6482549,0.16684626,0.024566548,0.04131387,0.14223513,0.93352485,0.94990456,0.62729126,0.49086756,0.5063437,0.20163262,0.97107965,0.90268356,0.99916345
"Franklin County, Vermont",-0.548166798,640,0.05289348,0.07063332,0.3365651,0.16914499,0.24691358,0.5653662,0.18118311,0.066712715,0.22645234,0.27285922,0.8914571,0.9517192,0.5947047,0.5913242,0.633218,0.18200791,0.9496382,0.8958727,0.9995109
"Eagle County, Colorado",-0.547132033,1227,0.02038101,0.09779999,0.5263158,0.2063197,0.54567903,0.34666592,0.13984635,0.008775583,0.021324363,0.49201742,0.78142154,0.17719239,0.4796334,0.41324198,0.7889273,0.06858671,0.6802377,0.9527034,0.99977386
"Kankakee County, Illinois",-0.546702583,2125,0.057238683,0.10323332,0.33933517,0.23048328,0.31111112,0.532343,0.17033093,0.091526225,0.03745036,0.27866474,0.5396119,0.6972618,0.68533605,0.5296804,0.4936563,0.17021674,0.92192096,0.89949244,0.99978036
"Coahoma County, Mississippi",-0.545283507,333,0.11606819,0.07606666,0.22022161,0.1802974,0.28641975,0.4994834,0.1645473,0.1915542,0.09546318,0.2539913,0.48880255,0.9559695,0.5315682,0.22146118,0.29065743,0.022265732,0.97891676,0.8205575,0.99915916
"Fayette County, Tennessee",-0.544973319,812,0.12300674,0.06519999,0.47506925,0.30111524,0.40987656,0.5913214,0.20429245,0.062409986,0.08732685,0.33962265,0.43188804,0.9125149,0.6313646,0.4543379,0.46828145,0.14381367,0.96301097,0.90578,0.9992551
"Wasatch County, Utah",-0.543689805,587,0.11046885,0.03803333,0.48614958,0.36431226,0.59753084,0.33620128,0.21267219,0.08359768,0.053193245,0.3134978,0.8804569,0.59154457,0.703666,0.5296804,0.69319487,0.17288291,0.8534752,0.97728896,0.9992043
"Grays Harbor County, Washington",-0.542175325,1490,0.07583488,0.081499994,0.19806094,0.2267658,0.3506173,0.5727917,0.20131314,0.20306982,0.14329997,0.17416546,0.6695838,0.70096326,0.57942975,0.4931507,0.36793542,0.033800185,0.9084439,0.9518066,0.99957496
"LaGrange County, Indiana",-0.532167942,356,0.25730184,0.07606666,0.35180056,0.3345725,0.50864196,0.40565532,0.11132384,0.040864933,0.006746851,0.37445572,0.89782304,0.8619722,0.09877801,0.5936073,0.5594002,0.12707806,0.6055002,0.42736098,0.9994232
"Bullitt County, Kentucky",-0.527823245,1331,0.047883544,0.06519999,0.35457063,0.35315984,0.4419753,0.5724843,0.14401552,0.07288082,0.07863778,0.30624092,0.91318834,0.9457069,0.6150713,0.60958904,0.5524798,0.07889217,0.9781609,0.9265416,0.9997001
"San Miguel County, New Mexico",-0.524241341,224,0.13750808,0.07063332,0.4833795,0.34200743,0.3530864,0.5717061,0.240666,0.45079252,0.13888241,0.3497823,0.42655492,0.2851398,0.7077393,0.39269406,0.38408306,0.007282138,0.37077296,0.67675686,0.99905294
"Kalkaska County, Michigan",-0.522851578,509,0.06406199,0.05433333,0.33518004,0.3977695,0.3506173,0.60900974,0.14826587,0.06801959,0.04519777,0.26995647,0.9170783,0.9570236,0.51731163,0.56164384,0.34832755,0.08083522,0.9789678,0.8566821,0.99820757
"Jackson County, Kansas",-0.520353794,150,0.15017226,0.04346666,0.15235457,0.15055762,0.2888889,0.5411919,0.2942147,0.10342251,0.13406818,0.1509434,0.6932936,0.88298076,0.68533605,0.6141553,0.650519,0.18189931,0.9628192,0.9149658,0.99788064
"Lauderdale County, Tennessee",-0.517374928,307,0.18146993,0.02173333,0.20221607,0.19144982,0.2617284,0.56407815,0.16612472,0.14208761,0.033227455,0.16545719,0.36411417,0.930187,0.5142566,0.42009133,0.3183391,0.289966,0.9721958,0.86419845,0.9991668
"San Patricio County, Texas",-0.516478295,752,0.108269446,0.05976666,0.53878117,0.23048328,0.5604938,0.48398355,0.2339021,0.07992153,0.1522222,0.37445572,0.591613,0.00355494,0.6700611,0.47716898,0.48904267,0.1122818,0.62498385,0.82665586,0.99964
"Uvalde County, Texas",-0.514433931,795,0.11465893,0.02173333,0.6772853,0.32156134,0.52592593,0.42083436,0.18747433,0.18494424,0.10967652,0.20464441,0.68745184,0.13114816,0.5305499,0.3515982,0.47520185,0.5396073,0.42924073,0.72825277,0.99902165
"Washington County, Tennessee",-0.514140225,2477,0.11754328,0.09779999,0.34903046,0.3197026,0.4148148,0.62451696,0.12780331,0.122230515,0.118019305,0.27576196,0.8227531,0.8944968,0.6934827,0.38356167,0.5051903,0.054345965,0.95258534,0.89527494,0.99976707
"Allegany County, Maryland",-0.514045631,696,0.12557916,0.10866666,0.38919666,0.3605948,0.29382715,0.68096435,0.16323456,0.19066022,0.11183835,0.32946298,0.75056976,0.9423857,0.6639511,0.4543379,0.4140715,0.033902526,0.96004695,0.8876645,0.9995656
"Steuben County, Indiana",-0.509322682,746,0.08379339,0.081499994,0.4141274,0.26208177,0.4888889,0.59454906,0.13998878,0.08330445,0.037542634,0.5558781,0.8078928,0.8900923,0.6262729,0.5981735,0.5755479,0.14841223,0.9546847,0.9250661,0.9992056
"Skagit County, Washington",-0.508771303,1828,0.05528005,0.09236666,0.46121883,0.35873607,0.29135802,0.5030816,0.20765969,0.09359749,0.077216715,0.36574745,0.66076994,0.47289038,0.62830955,0.51369864,0.51787776,0.068752944,0.84207153,0.91630757,0.9997389
"Burleigh County, North Dakota",-0.505426461,1520,0.034808744,0.10866666,0.5138504,0.3197026,0.42469135,0.61462283,0.13910553,0.18350455,0.13037382,0.47314948,0.8396038,0.94838357,0.7179226,0.47716898,0.71049595,0.075983405,0.9492559,0.923434,0.9996839
"Marathon County, Wisconsin",-0.497944306,1486,0.051451858,0.09236666,0.36565098,0.34386617,0.45679012,0.5579786,0.13751137,0.037667904,0.031163596,0.18432511,0.8035516,0.92182803,0.6863544,0.56164384,0.6378316,0.060289264,0.91302454,0.9153365,0.9998051
"Pulaski County, Virginia",-0.485882651,470,0.16182773,0.06519999,0.2700831,0.29553902,0.35555556,0.658396,0.22738947,0.15180412,0.065506235,0.36574745,0.8161084,0.9452824,0.6894094,0.55251145,0.4463668,0.09408951,0.9795665,0.9005318,0.9990533
"Manistee County, Michigan",-0.484742221,445,0.08872119,0.09236666,0.4196676,0.302974,0.41975307,0.6622863,0.24482216,0.12451757,0.08017511,0.22060958,0.8156077,0.89775056,0.58859473,0.5114155,0.35063437,0.09688115,0.9563613,0.86836815,0.9985034
"Phelps County, Missouri",-0.475803323,1379,0.100094095,0.081499994,0.29916897,0.21933086,0.3654321,0.6007432,0.107914165,0.27931476,0.18308498,0.23802613,0.7904427,0.9170689,0.73421586,0.4109589,0.47289503,0.00048691,0.93977123,0.90185636,0.9994188
"Juniata County, Pennsylvania",-0.472776619,302,0.17292663,0.05433333,0.38504156,0.302974,0.3580247,0.5881358,0.12430517,0.14960837,0.048770364,0.5050798,0.935773,0.91793436,0.5071283,0.5844749,0.544406,0.07523793,0.9470189,0.9088661,0.99876034
"Augusta County, Virginia",-0.466578012,829,0.09843759,0.081499994,0.37119114,0.37732342,0.47901234,0.62419266,0.17614575,0.13066854,0.06465415,0.2946299,0.8371372,0.91840374,0.60488796,0.5707762,0.5467128,0.1854958,0.97117376,0.8689141,0.99959636
"Acadia Parish, Louisiana",-0.465912608,1613,0.0637895,0.03803333,0.1565097,0.19330855,0.23209876,0.5318266,0.1964557,0.09374626,0.05831992,0.16110305,0.5549388,0.9350758,0.3991853,0.44063926,0.48212227,0.2069906,0.82958907,0.85919684,0.9996085
